Name,Household Income,Population,Median Age,Employable People in the labor force,Median Home Value,state
Pennsylvania,63627.0,12794885.0,40.9,6566126.0,187500.0,42
California,78672.0,39346023.0,36.7,20016955.0,538500.0,06
West Virginia,48037.0,1807426.0,42.7,798208.0,123200.0,54
Utah,74197.0,3151239.0,31.1,1600462.0,305400.0,49
New York,71117.0,19514849.0,39.0,10032721.0,325000.0,36
District of Columbia,90842.0,701974.0,34.1,414396.0,618100.0,11
Alaska,77790.0,736990.0,34.6,386787.0,275600.0,02
Florida,57703.0,21216924.0,42.2,10308068.0,232000.0,12
South Carolina,54864.0,5091517.0,39.7,2484102.0,170100.0,45
North Dakota,65315.0,760394.0,35.2,421736.0,199900.0,38
Maine,59489.0,1340825.0,44.8,706220.0,198000.0,23
Georgia,61224.0,10516579.0,36.9,5254983.0,190200.0,13
Alabama,52035.0,4893186.0,39.2,2259980.0,149600.0,01
New Hampshire,77923.0,1355244.0,43.0,761007.0,272300.0,33
Oregon,65667.0,4176346.0,39.5,2134435.0,336700.0,41
Wyoming,65304.0,581348.0,38.0,303956.0,228000.0,56
Arizona,61529.0,7174064.0,37.9,3436482.0,242000.0,04
Louisiana,50800.0,4664616.0,37.2,2185171.0,168100.0,22
Indiana,58235.0,6696893.0,37.8,3383365.0,148900.0,18
Idaho,58915.0,1754367.0,36.6,858590.0,235600.0,16
Connecticut,79855.0,3570549.0,41.1,1933145.0,279700.0,09
Hawaii,83173.0,1420074.0,39.4,750350.0,636400.0,15
Illinois,68428.0,12716164.0,38.3,6650033.0,202100.0,17
Massachusetts,84385.0,6873003.0,39.6,3815083.0,398800.0,25
Texas,63826.0,28635442.0,34.8,14309066.0,187200.0,48
Montana,56539.0,1061705.0,40.1,545629.0,244900.0,30
Nebraska,63015.0,1923826.0,36.6,1040763.0,164000.0,31
Ohio,58116.0,11675275.0,39.5,5927187.0,151400.0,39
Colorado,75231.0,5684926.0,36.9,3115754.0,369900.0,08
New Jersey,85245.0,8885418.0,40.0,4709106.0,343500.0,34
Maryland,87063.0,6037624.0,38.8,3275954.0,325400.0,24
Virginia,76398.0,8509358.0,38.4,4508686.0,282800.0,51
Vermont,63477.0,624340.0,42.8,342240.0,230900.0,50
North Carolina,56642.0,10386227.0,38.9,5210600.0,182100.0,37
Arkansas,49475.0,3011873.0,38.3,1386758.0,133600.0,05
Washington,77006.0,7512465.0,37.8,3904996.0,366800.0,53
Kansas,61091.0,2912619.0,36.9,1523349.0,157600.0,20
Oklahoma,53840.0,3949342.0,36.7,1893873.0,142400.0,40
Wisconsin,63293.0,5806975.0,39.6,3096518.0,189200.0,55
Mississippi,46511.0,2981835.0,37.7,1351695.0,125500.0,28
Missouri,57290.0,6124160.0,38.7,3090253.0,163600.0,29
Michigan,59234.0,9973907.0,39.8,4961054.0,162600.0,26
Rhode Island,70305.0,1057798.0,40.0,570567.0,276600.0,44
Minnesota,73382.0,5600166.0,38.1,3078339.0,235700.0,27
Iowa,61836.0,3150011.0,38.3,1679440.0,153900.0,19
New Mexico,51243.0,2097021.0,38.1,962807.0,175700.0,35
Nevada,62043.0,3030281.0,38.2,1534671.0,290200.0,32
Delaware,69110.0,967679.0,41.0,489325.0,258300.0,10
Puerto Rico,21058.0,3255642.0,42.4,1210925.0,111200.0,72
Kentucky,52238.0,4461952.0,39.0,2121356.0,147100.0,21
South Dakota,59896.0,879336.0,37.2,466573.0,174600.0,46
Tennessee,54833.0,6772268.0,38.8,3343918.0,177600.0,47
